operation,table,timestamp
Read,User,2025-06-02T21:07:08.676063
Read,Portfolio,2025-06-02T21:07:08.676063
Read,Portfolio,2025-06-02T21:07:08.689723400
Read,UserTransaction,2025-06-02T21:07:08.689723400
Read,Asset,2025-06-02T21:07:08.717429300
operation,table,timestamp
Read,User,2025-06-02T21:07:30.957080200
Read,Portfolio,2025-06-02T21:07:30.967725200
Read,Portfolio,2025-06-02T21:07:30.972520300
Read,UserTransaction,2025-06-02T21:07:30.978918700
Read,Asset,2025-06-02T21:07:31.001098800
operation,table,timestamp
Read,User,2025-06-02T21:08:26.726190400
Read,Portfolio,2025-06-02T21:08:26.737868
Read,Portfolio,2025-06-02T21:08:26.737868
Read,UserTransaction,2025-06-02T21:08:26.737868
Read,Asset,2025-06-02T21:08:26.771878900
operation,table,timestamp
Read,User,2025-06-02T21:12:29.878759700
Read,Portfolio,2025-06-02T21:12:29.892670800
Read,Portfolio,2025-06-02T21:12:29.897671900
Read,UserTransaction,2025-06-02T21:12:29.906419500
Read,Asset,2025-06-02T21:12:29.928953100
operation,table,timestamp
Read,User,2025-06-02T21:16:03.537191800
Read,Portfolio,2025-06-02T21:16:03.545886100
Read,Portfolio,2025-06-02T21:16:03.554602
Read,UserTransaction,2025-06-02T21:16:03.554602
Read,Asset,2025-06-02T21:16:03.575942700
